cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p25
cty13227,"Pickens County, GA",19712.369
cty13193,"Macon County, GA",18758.896
cty13197,"Marion County, GA",
cty13199,"Meriwether County, GA",19208.729
cty13201,"Miller County, GA",
cty13205,"Mitchell County, GA",22403.393
cty13209,"Montgomery County, GA",
cty13211,"Morgan County, GA",21817.814
cty13251,"Screven County, GA",20602.533
cty13215,"Muscogee County, GA",20259.746
cty13225,"Peach County, GA",17736.674
cty13235,"Pulaski County, GA",
cty13241,"Rabun County, GA",
cty13243,"Randolph County, GA",
cty16021,"Boundary County, ID",31905.885
cty16045,"Gem County, ID",30373.492
cty15009,"Maui County, HI",28799.928
cty15001,"Hawaii County, HI",28547.92
cty13257,"Stephens County, GA",25861.502
cty13261,"Sumter County, GA",18500.709
cty13263,"Talbot County, GA",
cty13267,"Tattnall County, GA",25089.662
cty13269,"Taylor County, GA",
cty16041,"Franklin County, ID",33818.348
cty16047,"Gooding County, ID",32510.967
cty16009,"Benewah County, ID",32408.299
cty16049,"Idaho County, ID",30899.559
cty16043,"Fremont County, ID",30408.973
cty16011,"Bingham County, ID",30198.629
cty16017,"Bonner County, ID",29899.494
cty16031,"Cassia County, ID",29679.441
cty16019,"Bonneville County, ID",29130.811
cty15003,"Honolulu County, HI",28495.908
cty16039,"Elmore County, ID",27998.959
cty16005,"Bannock County, ID",27471.273
cty15007,"Kauai County, HI",27008.77
cty16027,"Canyon County, ID",26715.523
cty16001,"Ada County, ID",26665.145
cty13321,"Worth County, GA",25066.951
cty13311,"White County, GA",24386.674
cty13295,"Walker County, GA",24104.463
cty13305,"Wayne County, GA",23283.178
cty13279,"Toombs County, GA",23204.072
cty13299,"Ware County, GA",22944.576
cty13313,"Whitfield County, GA",22773.564
cty13271,"Telfair County, GA",22636.857
cty13291,"Union County, GA",21730.121
cty13285,"Troup County, GA",21275.322
cty13293,"Upson County, GA",21173.789
cty13303,"Washington County, GA",21037.375
cty13297,"Walton County, GA",20745.729
cty13287,"Turner County, GA",20567.588
cty13289,"Twiggs County, GA",20547.266
cty13275,"Thomas County, GA",20532.873
cty13245,"Richmond County, GA",20075.006
cty13317,"Wilkes County, GA",20040.775
cty13277,"Tift County, GA",19773.498
cty13273,"Terrell County, GA",18471.955
