cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p100
cty13227,"Pickens County, GA",40595.316
cty13247,"Rockdale County, GA",36358.598
cty13219,"Oconee County, GA",36013.941
cty13245,"Richmond County, GA",34319.414
cty13217,"Newton County, GA",33352.063
cty13221,"Oglethorpe County, GA",
cty13223,"Paulding County, GA",31365.762
cty13225,"Peach County, GA",31332.902
cty13229,"Pierce County, GA",
cty13231,"Pike County, GA",
cty13233,"Polk County, GA",33754.961
cty13235,"Pulaski County, GA",
cty13237,"Putnam County, GA",
cty13241,"Rabun County, GA",
cty13243,"Randolph County, GA",
cty13251,"Screven County, GA",
cty13253,"Seminole County, GA",
cty13257,"Stephens County, GA",39595.293
cty13261,"Sumter County, GA",36390.617
cty13263,"Talbot County, GA",
cty13267,"Tattnall County, GA",
cty13269,"Taylor County, GA",
cty13271,"Telfair County, GA",
cty13273,"Terrell County, GA",
cty13275,"Thomas County, GA",40131.449
cty13313,"Whitfield County, GA",39434.035
cty15009,"Maui County, HI",38056.34
cty13305,"Wayne County, GA",36881.383
cty13277,"Tift County, GA",36592.285
cty13299,"Ware County, GA",36378.727
cty13297,"Walton County, GA",35985.602
cty13279,"Toombs County, GA",33764.617
cty13281,"Towns County, GA",
cty13283,"Treutlen County, GA",
cty13285,"Troup County, GA",36568.637
cty13287,"Turner County, GA",
cty13289,"Twiggs County, GA",
cty13291,"Union County, GA",
cty13293,"Upson County, GA",39418.582
cty13295,"Walker County, GA",32410.518
cty13301,"Warren County, GA",
cty13303,"Washington County, GA",
cty13311,"White County, GA",
cty13315,"Wilcox County, GA",
cty13317,"Wilkes County, GA",
cty13319,"Wilkinson County, GA",
cty15001,"Hawaii County, HI",38264.008
cty15007,"Kauai County, HI",36403.313
cty15003,"Honolulu County, HI",36067.082
cty16017,"Bonner County, ID",35689.063
cty16001,"Ada County, ID",30545.16
cty13321,"Worth County, GA",28694.059
cty16005,"Bannock County, ID",24305.824
cty16007,"Bear Lake County, ID",
cty16009,"Benewah County, ID",
cty16027,"Canyon County, ID",29786.225
cty16039,"Elmore County, ID",28289.213
cty16019,"Bonneville County, ID",25033.449
cty16011,"Bingham County, ID",21200.729
cty16021,"Boundary County, ID",
cty16029,"Caribou County, ID",
cty16031,"Cassia County, ID",27602.01
cty16035,"Clearwater County, ID",
cty16041,"Franklin County, ID",14227.485
cty16043,"Fremont County, ID",
cty16045,"Gem County, ID",30299.025
cty16047,"Gooding County, ID",
cty16049,"Idaho County, ID",
cty17021,"Christian County, IL",44320.184
cty17023,"Clark County, IL",42850.883
cty17027,"Clinton County, IL",41106.777
cty17043,"DuPage County, IL",41087.984
cty17011,"Bureau County, IL",40997.324
