cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p75
cty15009,"Maui County, HI",35882.969
cty13305,"Wayne County, GA",35432.246
cty16039,"Elmore County, ID",35274.484
cty15003,"Honolulu County, HI",35198.945
cty13285,"Troup County, GA",35162.113
cty16047,"Gooding County, ID",35064.484
cty16027,"Canyon County, ID",34633.773
cty15001,"Hawaii County, HI",34321.949
cty13321,"Worth County, GA",34139.641
cty16031,"Cassia County, ID",33644.063
cty16041,"Franklin County, ID",33609.34
cty13303,"Washington County, GA",33579.094
cty13313,"Whitfield County, GA",33382.984
cty13275,"Thomas County, GA",33199.785
cty13279,"Toombs County, GA",32519.781
cty13277,"Tift County, GA",30457.508
cty13281,"Towns County, GA",
cty13283,"Treutlen County, GA",
cty13287,"Turner County, GA",
cty13289,"Twiggs County, GA",
cty13291,"Union County, GA",
cty16043,"Fremont County, ID",33435.992
cty16017,"Bonner County, ID",33353.719
cty16019,"Bonneville County, ID",33227.359
cty16001,"Ada County, ID",33011.5
cty13293,"Upson County, GA",32433.295
cty16005,"Bannock County, ID",32271.178
cty13295,"Walker County, GA",31582.645
cty13301,"Warren County, GA",
cty13311,"White County, GA",31322.479
cty13315,"Wilcox County, GA",
cty13317,"Wilkes County, GA",
cty13319,"Wilkinson County, GA",
cty16009,"Benewah County, ID",
cty16021,"Boundary County, ID",
cty16035,"Clearwater County, ID",
cty17027,"Clinton County, IL",42753.879
cty17025,"Clay County, IL",40820.445
cty17049,"Effingham County, IL",40132.141
cty17061,"Greene County, IL",40095.074
cty16087,"Washington County, ID",39985.621
cty17073,"Henry County, IL",39952.184
cty17051,"Fayette County, IL",39858.938
cty17043,"DuPage County, IL",39701.117
cty17023,"Clark County, IL",39651.41
cty17067,"Hancock County, IL",39325.773
cty17045,"Edgar County, IL",38962.734
cty17001,"Adams County, IL",38932.746
cty17057,"Fulton County, IL",38895.473
cty17041,"Douglas County, IL",38876.141
cty17037,"DeKalb County, IL",38506.637
cty16067,"Minidoka County, ID",36999.148
cty16053,"Jerome County, ID",36551.238
cty17007,"Boone County, IL",36407.25
cty17015,"Carroll County, IL",35661.977
cty16055,"Kootenai County, ID",35532.551
cty16051,"Jefferson County, ID",34730.875
cty17005,"Bond County, IL",34673.641
cty16057,"Latah County, ID",33992.941
cty16059,"Lemhi County, ID",
cty17075,"Iroquois County, IL",40499.02
cty17079,"Jasper County, IL",39678.328
cty17017,"Cass County, IL",38501.152
cty17033,"Crawford County, IL",38274.477
cty17035,"Cumberland County, IL",37797.031
cty17031,"Cook County, IL",37411.926
cty17019,"Champaign County, IL",36684.781
cty17081,"Jefferson County, IL",35198.215
cty17055,"Franklin County, IL",35145.219
cty17077,"Jackson County, IL",34418.609
cty16083,"Twin Falls County, ID",33944.77
cty16069,"Nez Perce County, ID",33791.844
cty16065,"Madison County, ID",33276.547
cty16071,"Oneida County, ID",
cty16073,"Owyhee County, ID",
cty16077,"Power County, ID",34009.488
cty16075,"Payette County, ID",33613.566
cty16079,"Shoshone County, ID",
cty17003,"Alexander County, IL",
cty17063,"Grundy County, IL",41487.605
cty17053,"Ford County, IL",40702.613
cty17011,"Bureau County, IL",39556.926
cty17021,"Christian County, IL",36654.891
cty17039,"De Witt County, IL",36063.418
cty17029,"Coles County, IL",34177.582
cty17047,"Edwards County, IL",
cty17065,"Hamilton County, IL",
cty17135,"Montgomery County, IL",42820.969
cty17123,"Marshall County, IL",41983.434
cty17131,"Mercer County, IL",41239.18
cty17157,"Randolph County, IL",41210.129
cty17093,"Kendall County, IL",40734.43
cty17133,"Monroe County, IL",40656.598
cty17105,"Livingston County, IL",40420.305
cty17189,"Washington County, IL",40213.016
cty17139,"Moultrie County, IL",39925.504
cty17165,"Saline County, IL",39377.129
cty17173,"Shelby County, IL",39366.574
cty17099,"LaSalle County, IL",39223.75
cty17149,"Pike County, IL",39012.867
cty17107,"Logan County, IL",38956.484
cty17101,"Lawrence County, IL",38937.477
cty17111,"McHenry County, IL",38740.293
cty17117,"Macoupin County, IL",38660.715
cty17091,"Kankakee County, IL",38541.527
cty17085,"Jo Daviess County, IL",38353.828
cty17127,"Massac County, IL",38261.027
cty17185,"Wabash County, IL",38252.941
cty17179,"Tazewell County, IL",38199.848
cty17097,"Lake County, IL",38180.77
cty17187,"Warren County, IL",37974.195
cty17177,"Stephenson County, IL",37629.492
cty17089,"Kane County, IL",37629.039
cty17163,"St. Clair County, IL",36728.25
cty17083,"Jersey County, IL",35266.926
cty17087,"Johnson County, IL",
cty17103,"Lee County, IL",37805.156
cty17125,"Mason County, IL",37752.422
cty17159,"Richland County, IL",37521.531
cty17161,"Rock Island County, IL",37172.203
cty17147,"Piatt County, IL",37066.414
cty17115,"Macon County, IL",37032.035
cty17095,"Knox County, IL",36953.355
cty17143,"Peoria County, IL",36946.203
cty17141,"Ogle County, IL",36850.09
cty17119,"Madison County, IL",36704.797
cty17113,"McLean County, IL",36693.918
cty17129,"Menard County, IL",36478.949
cty17183,"Vermilion County, IL",36296.797
cty17145,"Perry County, IL",36008.613
cty17181,"Union County, IL",35845.891
cty17109,"McDonough County, IL",35560.332
cty17121,"Marion County, IL",35369.441
cty17167,"Sangamon County, IL",35016.105
cty17137,"Morgan County, IL",34127.41
cty17153,"Pulaski County, IL",
cty17169,"Schuyler County, IL",
cty17171,"Scott County, IL",
cty18037,"Dubois County, IN",43145.863
cty18007,"Benton County, IN",42634.461
cty17203,"Woodford County, IL",41630.23
cty18001,"Adams County, IN",41185.078
cty18051,"Gibson County, IN",41079.566
cty18073,"Jasper County, IN",41014.637
cty18045,"Fountain County, IN",39961.289
cty17191,"Wayne County, IL",39764.223
cty17195,"Whiteside County, IL",39630.965
cty18087,"LaGrange County, IN",39610.285
cty18047,"Franklin County, IN",39410.23
cty18049,"Fulton County, IN",39323.797
cty17197,"Will County, IL",39233.082
cty18059,"Hancock County, IN",38644.41
cty18015,"Carroll County, IN",38577.125
cty18063,"Hendricks County, IN",38313.848
cty18085,"Kosciusko County, IN",38241.918
cty18055,"Greene County, IN",38012.051
cty18027,"Daviess County, IN",37895.188
cty18083,"Knox County, IN",37865.926
cty18029,"Dearborn County, IN",37532.859
cty18011,"Boone County, IN",37430.117
cty17193,"White County, IL",37410.301
cty18071,"Jackson County, IN",37347.063
cty18057,"Hamilton County, IN",37066.715
cty18061,"Harrison County, IN",37024.59
cty18033,"DeKalb County, IN",36970.73
cty18031,"Decatur County, IN",36886.98
cty18077,"Jefferson County, IN",36878.043
cty18069,"Huntington County, IN",36774.699
cty18081,"Johnson County, IN",36772.008
cty18039,"Elkhart County, IN",36629.23
cty18017,"Cass County, IN",36407.504
cty18023,"Clinton County, IN",36392.539
cty18005,"Bartholomew County, IN",36220.383
cty18075,"Jay County, IN",36181.348
cty18013,"Brown County, IN",36162.762
cty18021,"Clay County, IN",36108.355
cty18065,"Henry County, IN",36036.223
cty18079,"Jennings County, IN",35942.398
cty18003,"Allen County, IN",35921.883
cty18043,"Floyd County, IN",35583.531
cty18019,"Clark County, IN",35163.512
cty17201,"Winnebago County, IL",35031.879
cty18035,"Delaware County, IN",34038.137
cty18053,"Grant County, IN",33746.234
cty17199,"Williamson County, IL",33235.023
cty18009,"Blackford County, IN",32526.434
cty18025,"Crawford County, IN",
cty18147,"Spencer County, IN",45890.668
cty19001,"Adair County, IA",43694.793
cty18123,"Perry County, IN",43212.824
cty18125,"Pike County, IN",43072.871
cty18153,"Sullivan County, IN",41133.945
cty18129,"Posey County, IN",40440.387
cty18111,"Newton County, IN",40082.816
cty19005,"Allamakee County, IA",39840.656
cty18171,"Warren County, IN",39275.258
cty18137,"Ripley County, IN",39086.898
cty18159,"Tipton County, IN",39081.699
cty19007,"Appanoose County, IA",38935.855
cty18173,"Warrick County, IN",38538.801
cty18127,"Porter County, IN",38070.336
cty18169,"Wabash County, IN",37969.879
cty18179,"Wells County, IN",37947
cty18099,"Marshall County, IN",37839.254
cty18165,"Vermillion County, IN",37715.492
cty18135,"Randolph County, IN",37713.809
cty18149,"Starke County, IN",37597.453
cty18183,"Whitley County, IN",37589.793
cty18131,"Pulaski County, IN",37473.48
cty18117,"Orange County, IN",37453.219
cty18163,"Vanderburgh County, IN",37230.609
cty18181,"White County, IN",37107.723
cty18141,"St. Joseph County, IN",36897.938
cty18101,"Martin County, IN",36887.129
cty18145,"Shelby County, IN",36879.047
cty18107,"Montgomery County, IN",36716.238
cty18089,"Lake County, IN",36700.012
cty18109,"Morgan County, IN",36512.996
