cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p1
cty12013,"Calhoun County, FL",
cty12023,"Columbia County, FL",14364.79
cty12029,"Dixie County, FL",
cty12037,"Franklin County, FL",
cty12039,"Gadsden County, FL",14298.37
cty12041,"Gilchrist County, FL",
cty12043,"Glades County, FL",
cty12045,"Gulf County, FL",
cty12047,"Hamilton County, FL",
cty12065,"Jefferson County, FL",
cty12067,"Lafayette County, FL",
cty12086,"Miami-Dade County, FL",24191.221
cty12087,"Monroe County, FL",22881.266
cty12099,"Palm Beach County, FL",21498.422
cty12117,"Seminole County, FL",20798.201
cty12103,"Pinellas County, FL",19444.684
cty12131,"Walton County, FL",18781.523
cty12095,"Orange County, FL",18499.455
cty12097,"Osceola County, FL",18493.156
cty12071,"Lee County, FL",18302.602
cty12115,"Sarasota County, FL",18087.377
cty12085,"Martin County, FL",17999.914
cty12073,"Leon County, FL",17970.082
cty12111,"St. Lucie County, FL",17784.121
cty12127,"Volusia County, FL",17671.035
cty13033,"Burke County, GA",17558.918
cty12081,"Manatee County, FL",17344.564
cty13009,"Baldwin County, GA",17299.961
cty12129,"Wakulla County, FL",17277.982
cty12083,"Marion County, FL",16979.709
cty12091,"Okaloosa County, FL",16776.758
cty12069,"Lake County, FL",16704.727
cty12089,"Nassau County, FL",16397.055
cty12109,"St. Johns County, FL",16326.927
cty12119,"Sumter County, FL",16122.301
cty13039,"Camden County, GA",15988.982
cty12107,"Putnam County, FL",15836.857
cty12101,"Pasco County, FL",15830.468
cty12093,"Okeechobee County, FL",15561.74
cty12075,"Levy County, FL",15472.962
cty12077,"Liberty County, FL",
cty12079,"Madison County, FL",16325.211
cty12105,"Polk County, FL",15117.53
cty12121,"Suwannee County, FL",15077.239
cty13021,"Bibb County, GA",14316.659
cty12133,"Washington County, FL",14287.495
cty13035,"Butts County, GA",14240.911
cty12113,"Santa Rosa County, FL",13604.608
cty12123,"Taylor County, FL",13574
cty12125,"Union County, FL",
cty13017,"Ben Hill County, GA",14153.378
cty13015,"Bartow County, GA",12490.877
cty13001,"Appling County, GA",10261.735
cty13003,"Atkinson County, GA",
cty13005,"Bacon County, GA",
cty13011,"Banks County, GA",13886.941
cty13031,"Bulloch County, GA",12338.981
cty13019,"Berrien County, GA",9635.1982
cty13013,"Barrow County, GA",9466.0771
cty13023,"Bleckley County, GA",
cty13025,"Brantley County, GA",
cty13029,"Bryan County, GA",13300.497
cty13027,"Brooks County, GA",9077.9268
cty13043,"Candler County, GA",
cty13113,"Fayette County, GA",23147.988
cty13135,"Gwinnett County, GA",20952.104
cty13147,"Hart County, GA",19542.846
cty13067,"Cobb County, GA",18985.395
cty13117,"Forsyth County, GA",17850.615
cty13045,"Carroll County, GA",12990.567
cty13047,"Catoosa County, GA",12375.995
cty13049,"Charlton County, GA",
cty13089,"DeKalb County, GA",17749.803
cty13091,"Dodge County, GA",17723.518
cty13057,"Cherokee County, GA",17482.594
